ID,Moisture treatment,Plant species richness,Soil moisture (m3 m-3),Soil organic matter (g kg-1),Plant biomass (g),Bacterial Chao 1,Bacterial OTU richness,Fungal Chao 1,Fungal OTU richness,Glomalin (mg g-1 soil),Dehydrogenases (¦Ìg TPF g-1 soil h-1),Nitrate reductase (¦Ìg NO2--N g-1 soil h-1),¦Â-Glucosidase (¦Ìg 2-HBA g-1 soil h-1),Protease (¦Ìg Tyrosine g-1 soil h-1),Urease (¦Ìg NH4+-N g-1 soil h-1)
1,Ambient,1,0.104916667,9.3932,33.18,4299.24359,2890,1104.8,758,0.254933333,0.022083071,0.101174242,0.233109397,783.4933333,194.3278491
2,Ambient,1,0.112166667,8.5049,36.4,4428.006329,2953,1190.222222,680,0.215466667,0.056340157,0.231939394,0.148961382,935.68,113.818566
3,Ambient,1,0.109833333,12.0931,39.1826,4622.4862,3090,933.183908,598,0.448,0.01515748,1.0078125,0.00558149,1925,84.67924528
4,Ambient,1,0.067916667,10.9689,91.3226,4346.332703,3058,1088.863014,569,0.325333333,0.025005512,0.617861742,0.123050538,2309.6,107.2003019
5,Ambient,1,0.105,14.5731,110.05,4628.141509,2954,821.7590361,542,0.507733333,0.090361417,1.715801136,0.306770854,3974.58,27.03939623
6,Ambient,1,0.096583333,10.7249,16.09,4262.15678,2944,1243.887755,752,0.283733333,0.031397638,0.278645833,0.240004059,2163.333333,16.60377358
7,Ambient,1,0.094833333,4.9675,43.2964,4160.682635,2952,802.1111111,581,0.2624,0.009595276,1.602746212,0.027481226,3195.44,9.810113208
8,Ambient,1,0.080916667,11.7634,94.3047,4501.116034,3046,989.6162791,589,0.504533333,0.050980315,2.085481376,0.177115892,2364.6,11.04754717
9,Ambient,1,0.099083333,8.7122,29.1574,4634.484127,3188,932.1538462,601,0.482133333,0.025870866,1.700878788,0.177828293,1405.506667,140.5162264
10,Ambient,1,0.09925,5.9583,9.08,4866.625,3184,1234.772059,816,0.1376,0.017083465,1.637643939,0.159626548,4610.4,116.2578113
11,Ambient,1,0.12775,3.731,44.28,4622.646067,3198,1056.181818,717,0.1312,0.029115354,1.2086875,0.105624112,3378.1,138.9138113
12,Ambient,1,0.10175,10.6459,98.96,3749.306905,2594,788.1298701,550,0.301866667,0.033908232,1.610958333,0.082382789,3608,123.3527547
13,Ambient,2,0.106,13.7594,34.68,4243.125571,2848,1014.329787,628,0.257066667,0.022570866,0.001723485,0.17176781,364,20.60377358
14,Ambient,2,0.08385,15.7136,77.15,4491.673611,2949,889.0106383,599,0.581333333,0.036478898,2.40921875,0.239111021,2244,0.846792453
15,Ambient,2,0.12325,12.8541,127.8712351,3731.280347,2472,794.2727273,528,0.352,0.033675591,2.53378125,0.374339355,3724.38,4.034716981
16,Ambient,2,0.092083333,11.5891,21.0514,4452.795132,3101,922.2236842,548,0.491733333,0.015223622,0.195292929,0.15696367,865.4266667,14.17479245
17,Ambient,2,0.098916667,12.2563,118.7046,4474.936345,3049,955.25,537,0.404266667,0.033566929,2.31361048,0.323020093,1439.946667,20.59109434
18,Ambient,2,0.120833333,14.4089,93.02151394,3951.524155,2669,893.3870968,585,0.4416,0.07735748,1.622066604,0.077544145,436.64,82.38490566
19,Ambient,4,0.0995,7.9273,189.20626,4493.930233,3058,1092.1875,694,0.542933333,0.045713386,0.092075758,0.287395981,320.96,65.83064151
20,Ambient,4,0.105666667,10.331,92.25356309,4414.641509,3044,1044.591398,657,0.2816,0.024070079,0.581589962,0.208692917,4020.286667,91.36899623
21,Ambient,4,0.09025,10.6995,17.19518962,4571.940529,2990,914.1052632,472,0.2816,0.051057165,1.401268939,0.158481835,2236.48,78.57509434
22,Ambient,4,0.081416667,17.6395,136.5815538,4432.889571,3032,774.5232558,529,0.6336,0.064576378,0.130362689,0.184288614,1191.126667,94.61222642
23,Ambient,4,0.095083333,11.102,56.61632,4224.718593,2706,1250.507042,648,0.3456,0.071937008,0.019826389,0.115892024,7232.666667,103.4264151
24,Ambient,4,0.096833333,14.4584,61.66849206,4537.306418,3102,1222.207921,748,0.445866667,0.048988976,0.232988636,0.292729856,1225.466667,114.4006038
25,Ambient,8,0.125,13.788,118.8544581,4617.141104,3079,1154.146789,759,0.689066667,0.04223622,0.089738636,0.212295515,89.4,34.00573585
26,Ambient,8,0.12675,6.4868,76.37502075,4690.921277,3114,1179.203883,735,0.3936,0.113803937,0.221224432,0.166044246,2145.24,34.57630189
27,Ambient,8,0.097333333,4.4361,50.53578842,3762.062099,2764,770.7101449,532,0.581333333,0.050719291,0.243125316,0.038942561,3197.833333,124.9482264
28,Ambient,8,0.105333333,9.83,142.6557851,4316.659091,3015,967.75,632,0.644266667,0.017568504,0.175192866,0.249068399,7381.553333,151.5532075
29,Ambient,8,0.125666667,3.6581,98.5136255,4007.368794,2757,1129.723404,726,0.277333333,0.068332677,0.695707071,0.430556119,734.6666667,118.9328302
30,Ambient,8,0.13715,7.927,71.59650217,3806.564706,2643,797.1204819,640,0.577066667,0.039461811,0.062542614,0.132470063,4133.64,144.9618113
31,Drought,1,0.028833333,2.379,36.9361,4115.080899,2813,638.6304348,369,0.509151304,0.031174803,0.343680556,0.212372641,904.96,114.4006038
32,Drought,1,0.037666667,10.4124,44.9308,3906.080786,2648,860.0576923,454,0.241821617,0.052284252,0.580498422,0.175786483,1077.813333,125.5027925
33,Drought,1,0.037241667,0.6933,37.5025,3871.414784,2798,587.5283019,371,0.779662138,0.051779528,0.133194444,0.17795819,1114.266667,127.3841509
34,Drought,1,0.025083333,3.5439,76.8588,4126.020964,2838,560.9375,325,0.43837074,0.041501181,0.615125,0.213949665,816.7133333,114.3900377
35,Drought,1,0.024916667,9.1577,66.1556,4463.002315,2931,768.038961,507,0.258124236,0.057921484,0.533496528,0.229472296,2299.873333,188.1615094
36,Drought,1,0.021166667,4.0161,14.01,4639.564961,3171,991.1632653,504,0.239377618,0.062724409,0.111357323,0.577430485,1232.833333,108.2173585
37,Drought,1,0.0305,17.3914,45.3927,4546.782816,2959,842.2894737,548,0.567601618,0.066270472,0.063039773,0.277946012,1768.86,97.32498113
38,Drought,1,0.027583333,11.0204,49.74,4483.444444,3084,925.9873418,607,0.421498544,0.070500107,0.02169697,0.104631622,687.36,87.32498113
39,Drought,1,0.0315,7.0412,16.89,4513.45679,3070,699.9090909,486,0.647074398,0.060608268,0.54425,0.204513903,1175.58,92.94792453
40,Drought,1,0.040666667,9.8584,33.9313,4044.573684,2587,800.8352941,562,0.623769269,0.062026772,0.123018939,0.140247615,755.4933333,94.28890566
41,Drought,1,0.03325,5.0343,23.68,4603.944444,3077,1053.662651,648,0.382916832,0.049416142,0.087533144,0.106640958,1148.14,83.71471698
42,Drought,1,0.044666667,10.3307,68.1855,3705.976242,2672,679.6153846,456,0.588892193,0.088850394,0.036509154,0.120237467,2143.96,75.79441509
43,Drought,2,0.033583333,2.8333,63.81876948,4187.6,2793,815.559322,485,0.143827407,0.071832677,0.232144571,0.085457682,1590.633333,117.7880755
44,Drought,2,0.0365,2.7128,79.83035928,3960.421659,2737,721.9746835,465,0.154465861,0.104574803,0.101496212,0.102147351,410.08,116.4824151
45,Drought,2,0.03025,5.5752,85.19998008,3718.550725,2441,729.2459016,438,0.344973545,0.011066929,0.086956439,0.051347676,1405.5,95.04362264
46,Drought,2,0.048166667,5.5291,7.3,4269.269058,2914,746.6133333,497,0.437731849,0.074081102,0.01439899,0.028932413,1463.513333,71.43637736
47,Drought,2,0.028583333,2.6661,102.01844,4133.682403,2846,676,403,0.155035673,0.051774016,0.077722222,0.278266694,1977.253333,79.39984906
48,Drought,2,0.022,4.245,73.62348,3961.252174,2748,710.2708333,411,0.332572072,0.023835827,0.002730114,0.087771463,288.3,53.09071698
